"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47275773165851e-314,13101,"文部科学省構内遺跡",35.67131152,139.7490073,"0","0","0","0","0","1","0","1","0"
6.47275778106508e-314,13101,"有楽町二丁目遺跡",35.67432366,139.7632895,"0","0","0","0","0","0","0","1","0"
6.47275783047164e-314,13101,"九段南一丁目遺跡",35.69398344,139.7535735,"0","0","0","0","0","0","0","1","0"
6.47275787987821e-314,13101,"富士見二丁目遺跡",35.70079368,139.7449565,"0","0","1","0","0","0","0","1","0"
6.47275792928477e-314,13101,"広島藩浅野家上屋敷跡",35.67613647,139.7511016,"0","0","0","0","0","0","0","1","0"
6.47275797869134e-314,13101,"麹町二丁目遺跡",35.68551552,139.7409896,"0","0","0","0","0","0","0","1","0"
6.4727580280979e-314,13101,"神田淡路町二丁目遺跡",35.69758024,139.7671004,"0","0","0","0","0","0","0","1","0"
6.47275807750447e-314,13101,"二番町遺跡",35.68551552,139.7373504,"0","0","0","0","0","0","0","1","0"
6.47275812691103e-314,13101,"有楽町一丁目遺跡",35.67376587,139.7590323,"0","0","0","0","0","0","0","1","0"
6.4727581763176e-314,13101,"千代田区№84遺跡",35.69321976,139.7775578,"0","0","0","0","0","0","0","1","0"
6.47275822572416e-314,13101,"筒井家屋敷跡",35.68730019,139.7374877,"0","0","0","0","0","0","0","1","0"
6.47275827513073e-314,13101,"千代田区№86遺跡",35.69358224,139.7762875,"0","0","0","0","0","0","0","1","0"
6.47275832453729e-314,13101,"神田練塀町遺跡",35.70003378,139.7747222,"0","0","0","0","0","0","0","1","0"
6.47275837394385e-314,13101,"一橋徳川家屋敷跡遺跡",35.69063744,139.7601653,"0","0","0","0","0","0","0","1","0"
6.47275842335042e-314,13101,"麹町五丁目遺跡",35.6845674,139.7342948,"0","0","0","0","0","0","0","1","0"
6.47275847275698e-314,13101,"千代田区No.90遺跡",35.70327562,139.7721275,"0","0","0","0","0","0","0","1","0"
6.47275852216355e-314,13101,"財務省構内遺跡",35.67329174,139.7489043,"0","0","0","0","0","0","0","1","0"
6.47275857157011e-314,13101,"千代田区No.92遺跡",35.69294093,139.7800983,"0","0","0","0","0","0","0","1","0"
6.47275862097668e-314,13101,"千代田区No.93遺跡",35.69684344,139.7595134,"0","0","0","0","0","0","0","1","0"
6.47374220686442e-314,13103,"青山墓地内貝塚",35.66801712,139.7195241,"0","1","0","0","0","0","0","0","0"
6.47374225627098e-314,13103,"港区№2遺跡",35.66494895,139.7220303,"0","1","1","0","0","0","0","0","0"
6.47374230567755e-314,13103,"港区№3遺跡",35.66430742,139.7170178,"0","1","0","0","0","0","0","0","0"
6.47374235508411e-314,13103,"江戸城外堀跡遺跡",35.68029287,139.7327679,"0","0","0","0","0","0","0","1","0"
6.47374240449068e-314,13103,"東宮御所内遺跡",35.67749979,139.7275235,"0","1","1","0","0","0","0","0","0"
6.47374245389724e-314,13103,"松泉寺跡遺跡",35.67303835,139.7339686,"0","0","0","0","0","0","0","1","0"
6.47374250330381e-314,13103,"今井城山遺跡",35.67250843,139.7357195,"0","0","0","0","0","0","1","0","0"
6.47374255271037e-314,13103,"港区№8遺跡",35.66837971,139.7354352,"0","0","0","1","0","0","0","0","0"
6.47374260211693e-314,13103,"長門萩藩毛利家屋敷跡遺跡",35.66606467,139.7304227,"0","1","0","1","0","0","0","1","0"
6.47374260310507e-314,13103,"長門萩藩毛利家屋敷跡第２遺跡",35.66653884,139.7324483,"0","1","0","0","0","0","0","1","0"
6.4737426515235e-314,13103,"港区№10遺跡",35.67016904,139.7426556,"0","0","0","0","0","0","0","1","0"
6.47374270093006e-314,13103,"港区№11遺跡",35.66997381,139.7432735,"0","0","0","0","0","0","0","1","0"
6.4737427019182e-314,13103,"港区№11-2遺跡",35.66963911,139.7431362,"0","0","0","0","0","0","0","1","0"
6.47374275033663e-314,13103,"越後糸魚川藩松平家屋敷跡遺跡",35.66883026,139.7415913,"0","0","0","0","0","0","0","1","0"
6.47374279974319e-314,13103,"港区№13遺跡",35.67025917,139.7489113,"0","0","0","0","0","0","0","1","0"
6.47374284964382e-314,13103,"天徳寺寺域第1遺跡",35.66470866,139.747538,"0","0","0","0","0","0","0","1","0"
6.47374285013789e-314,13103,"天徳寺寺域第2遺跡",35.66627065,139.7478813,"0","0","0","0","0","0","0","1","0"
6.47374285063195e-314,13103,"天徳寺寺域第3遺跡",35.66330005,139.7464222,"0","0","0","0","0","0","0","1","0"
6.47374285112602e-314,13103,"天徳寺寺域第4遺跡",35.66445762,139.7467655,"0","0","0","0","0","0","0","1","0"
