240-400	五領式	古墳初頭	南橋遺跡 みなみばしいせき	東京都北区中十条1-3-17,北区中十条1-3-10,北区中十条1-2-1,北区王子本町2-8-8,北区王子本町2-9-9,北区中十条1-1-22,北区十条台1-3-16	集落,墓	35.75600574	139.7270445	25～26.3
240-400	五領式	古墳前期	南橋遺跡 みなみばしいせき	東京都北区中十条1-3-17,北区中十条1-3-10,北区中十条1-2-1,北区王子本町2-8-8,北区王子本町2-9-9,北区中十条1-1-22,北区十条台1-3-16	集落,墓	35.75600574	139.7270445	25～26.3
100-150	久ヶ原式	弥生後期中葉	徳丸東遺跡 とくまるひがしいせき	東京都板橋区徳丸6-33-18		35.77877893	139.6592716	30～30
100-240		弥生後期後半	徳丸東遺跡 とくまるひがしいせき	東京都板橋区徳丸6-33-18		35.77877893	139.6592716	30～30
240-400	五領式	古墳初頭	徳丸東遺跡 とくまるひがしいせき	東京都板橋区徳丸6-33-18		35.77877893	139.6592716	30～30
B2500-B2300	称名寺式	縄文後期初頭	堂ヶ谷戸遺跡 どうがやといせき	東京都世田谷区岡本2-32	集落	35.00330438	138.9968548	36.8～36.8
B800-	浮線網状文	縄文晩期末-	堂ヶ谷戸遺跡 どうがやといせき	東京都世田谷区岡本2-32	集落	35.00330438	138.9968548	36.8～36.8
200-400		弥生後期末葉-古墳初頭	堂ヶ谷戸遺跡 どうがやといせき	東京都世田谷区岡本2-32	集落	35.00330438	138.9968548	36.8～36.8
240-400	五領式	古墳前期	堂ヶ谷戸遺跡 どうがやといせき	東京都世田谷区岡本3-1	集落,	35.62490728	139.6181703	36.9～38
100-150	弥生町式？	弥生後期中葉	東山南遺跡 ひがしやまみなみいせき	東京都目黒区東山3-24	集落,	35.64740589	139.6856634	30～30
			東山貝塚遺跡　Q地点 ひがしやまかいづかいせき	東京都目黒区東山3-19-21	集落	35.64879465	139.6870522	_～_
			東山貝塚遺跡　Q地点 ひがしやまかいづかいせき	東京都目黒区東山3-19-21	集落,	35.64879465	139.6870522	_～_
			東山貝塚遺跡 ひがしやまかいづかいせき	東京都目黒区東山3-17-12	集落	35.64907238	139.6862189	_～_
			東山貝塚遺跡 ひがしやまかいづかいせき	東京都目黒区東山3-17-12	不詳,	35.64907238	139.6862189	_～_
			東雲寺上遺跡 とううんじうえいせき	東京都町田市成瀬字30号4460番ほか	集落	35.54185861	139.4812407	_～_
			東雲寺上遺跡 とううんじうえいせき	東京都町田市成瀬字30号4460番ほか	集落	35.54185861	139.4812407	_～_
100-150		弥生後期中葉	土器塚遺跡　第1次 かわらけづかいせき	東京都目黒区大橋2-19	集落,	35.6551827	139.6823301	33.3～33.4
100-150		弥生後期中葉	土器塚遺跡（第2次） かわらけづかいせき	東京都目黒区駒場2-18-2,世田谷区代沢1-1	集落,	35.65573816	139.6809413	31.6～32.6
100-150		弥生後期中葉	田島遺跡 たじまいせき	東京都練馬区貫井4-44他	小集落	35.74322675	139.6273313	43.4～43.7
			田端不動坂遺跡　第17地点 たばたふどうさかいせき	東京都北区田端1-27	集落	35.73823113	139.7598205	_～_
B100-1	宮ノ台式	弥生中期後半	田端不動坂遺跡　第11地点/第12地点/第13地点/第14地点/第15地点/第16地点 たばたふどうさかいせき	東京都北区田端1-28-1-2,1-20-30,1-28-6,1-20-23,1-20-5,1-20-6	集落	35.7332317	139.7598207	23.8～23.9
100-240		弥生後期後半	田端不動坂遺跡　第11地点/第12地点/第13地点/第14地点/第15地点/第16地点 たばたふどうさかいせき	東京都北区田端1-28-1-2,1-20-30,1-28-6,1-20-23,1-20-5,1-20-6	集落	35.7332317	139.7598207	23.8～23.9
1-400		弥生後期-古墳前期	田端不動坂遺跡　第11地点/第12地点/第13地点/第14地点/第15地点/第16地点 たばたふどうさかいせき	東京都北区田端1-28-1-2,1-20-30,1-28-6,1-20-23,1-20-5,1-20-6	集落	35.7332317	139.7598207	23.8～23.9
B100-1	宮ノ台式	弥生中期後半	田端不動坂遺跡 たばたふどうさかいせき	東京都北区田端1-23-9,1-21-5,1-24-15,1-27-7,1-23-5	集落	35.73517609	139.7623205	22.7～22.8
100-240		弥生後期後半	田端不動坂遺跡 たばたふどうさかいせき	東京都北区田端1-23-9,1-21-5,1-24-15,1-27-7,1-23-5	集落	35.73517609	139.7623205	22.8～23.5
