JASID,自治体コード,遺跡番号,種類,所在地（代表地番）,時代,名称・備考,旧市番号,地図,経度,緯度
14134002500,14134,高津区No.25,集落跡 古墳,高津区上作延5-7,縄文　弥生　古墳　平安,緑ヶ丘霊園内遺跡・ビシャモン塚,津田山-16,56,139.5887808,35.60728778
14134002600,14134,高津区No.26,古墳,高津区下作延1605,古墳,稲荷塚古墳,津田山-17,51,139.592603,35.60665492
14134002700,14134,高津区No.27,散布地,高津区下作延5-35,縄文,,津田山-34,51,139.5944409,35.60727599
14134002800,14134,高津区No.28,その他の墓,高津区下作延6-21,古墳,伊屋之免出土板碑,津田山-35,51,139.597473,35.60619
14134002900,14134,高津区No.29,古墳,高津区下作延1514ほか,中世,津田山古墳,津田山-36,51,139.595062,35.605125
14134003000,14134,高津区No.30,横穴墓,高津区下作延1329ほか,古墳,,津田山-37,51,139.595767,35.60200287
14134003100,14134,高津区No.31,集落跡,高津区上作延26-1,縄文　弥生　古墳,緑ヶ丘霊園内遺跡,津田山-18,51,139.591476,35.604164
14134003200,14134,高津区No.32,横穴墓,高津区上作延60,古墳,,津田山-20,57,139.5889306,35.60209533
14134003300,14134,高津区No.33,散布地,高津区下作延23付近,奈良　平安,,津田山-38,51,139.5993309,35.60159719
14134003400,14134,高津区No.34,散布地,高津区上作延139,奈良　平安,,津田山-39,51,139.5944581,35.60132767
14134003500,14134,高津区No.35,横穴墓,高津区下作延5-10,古墳,,津田山-11,51,139.5992431,35.60026689
14134003600,14134,高津区No.36,横穴墓,高津区下作延5-10,古墳,上作延横穴墓群,津田山-12,51,139.5993118,35.59971556
14134003700,14134,高津区No.37,集落跡,高津区下作延4-17,縄文　弥生　古墳　奈良　平安 中世,下作延巳ノ谷遺跡・下作延神明神社東南遺跡,津田山-13,51,139.6034538,35.59948169
14134003800,14134,高津区No.38,集落跡,高津区下作延2-31,弥生　古墳　奈良　平安,下作延遺跡,津田山-42,51,139.6049902,35.59868609
14134003900,14134,高津区No.39,散布地,高津区上作延722ほか,縄文　古墳　奈良　平安　中世,,津田山-23,57,139.5875362,35.59823646
14134004000,14134,高津区No.40,その他の墓,高津区上作延755,中世,板碑,津田山-40,57,139.589306,35.59819065
14134004100,14134,高津区No.41,集落跡,高津区上作延796ほか,縄文　弥生　古墳　奈良　平安,上作延南原遺跡,宮崎-19,57,139.5894934,35.59682616
14134004200,14134,高津区No.42,古墳,高津区上作延814ほか,古墳,上作延南原古墳,津田山-24,51,139.5914456,35.59846727
14134004300,14134,高津区No.43,散布地,高津区上作延824ほか,縄文　弥生　古墳　奈良　平安,上作延南原遺跡,宮崎-18,57,139.5912615,35.59735657
14134004400,14134,高津区No.44,散布地,高津区上作延904ほか,縄文,向ヶ丘南原遺跡,宮崎-12,51,139.593167,35.59593282
14134004500,14134,高津区No.45,散布地,高津区向ヶ丘129ほか,縄文,,宮崎-25,52,139.5939309,35.59318644
14134004600,14134,高津区No.46,散布地,高津区下作延3-27,縄文,,宮崎-16,52,139.595214,35.59144154
14134004700,14134,高津区No.47,散布地,高津区向ヶ丘28ほか,縄文　弥生,上作延神明社脇遺跡,宮崎-14,52,139.5959694,35.59359125
14134004800,14134,高津区No.48,集落跡,高津区上作延1066ほか,縄文　奈良　平安,上作延南原東遺跡,宮崎-13,51,139.5966903,35.59572693
14134004900,14134,高津区No.49,散布地,高津区下作延1118ほか,縄文　奈良　平安,上作延神明社脇遺跡,宮崎-8,51,139.5990078,35.5956013
14134005000,14134,高津区No.50,散布地,高津区下作延3-5,奈良　平安,,宮崎-9,51,139.6013123,35.59565714
14134005100,14134,高津区No.51,集落跡,高津区下作延4-51,縄文　弥生　古墳　奈良　平安,下作延巳ノ谷遺跡・上作延南谷一遺跡,宮崎-7,51,139.6028573,35.59716465
14134005200,14134,高津区No.52,集落跡,高津区末長1-6,縄文　弥生　古墳　奈良　平安,久保台遺跡,宮崎-1,51,139.606136,35.59564318
14134005300,14134,高津区No.53,散布地,高津区末長1-49,縄文　弥生,,宮崎-2,52,139.6044022,35.59381459
14134005400,14134,高津区No.54,集落跡,高津区久本1-12,縄文　弥生　奈良　平安,久本桃之園遺跡・久本梅之園遺跡,末長-2,51,139.6097623,35.59646673
14134005500,14134,高津区No.55,横穴墓,高津区久本1-13,古墳,久本桃之園横穴墓群,末長-3,51,139.6106593,35.59679999
14134005600,14134,高津区No.56,横穴墓,高津区久本1-16,古墳,久本横穴墓群,末長-4,51,139.6121742,35.59650686
14134005700,14134,高津区No.57,集落跡 貝塚,高津区末長1-1,縄文　弥生　古墳　奈良　平安,末長久保台北遺跡,末長-5,51,139.6108944,35.59494888
14134005800,14134,高津区No.58,集落跡,高津区末長2-1,縄文　弥生　平安,末長久保台遺跡,宮崎-6,52,139.6109717,35.59320751
14134005900,14134,高津区No.59,その他の墓,高津区久本2-11,平安,末長火葬墓,宮崎-15,52,139.6121357,35.59348614
14134006000,14134,高津区No.60,集落跡,高津区末長2-4,縄文　奈良　平安,末長富士見台遺跡,末長-7,48,139.6127183,35.59210376
