JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品,経度,緯度
13107006800,13107,68,,墨田区No.68遺跡,墨田区 東向島四丁目,[近世],屋敷、その他（村落）,溝　下水溝　土坑　盛土,陶磁器　土器　木製品　金属製品　ガラス製品　須恵器,139.8140551,35.72774507
13107006900,13107,69,,墨田区No.69遺跡,墨田区 吾妻橋一丁目,[近世],屋敷,杭　盛土、貝集中範囲,陶磁器,139.7994814,35.7090849
13107007000,13107,70,,墨田区No.70遺跡,墨田区 横綱二丁目,[近世],屋敷,井戸　建物基礎　杭　土坑　盛土,陶磁器　土器　瓦,139.7960978,35.70058402
13107007100,13107,71,,墨田区No.71遺跡,墨田区 吾妻橋一丁目,[近世],その他（町人地）,ゴミ穴　下水溝　整地層（盛土）,陶磁器,139.8020564,35.70900887
13107007200,13107,72,,墨田区No.72遺跡,墨田区 本所一丁目,[近世],屋敷、その他（町人地）,下水木樋　整地層（盛土）　石組溝　溝　土留め　土坑　杭,陶磁器　土器　漆　木製品　金属製品,139.7994814,35.70381334
13107007300,13107,73,,墨田区No.73遺跡,墨田区 東駒形一丁目,[近世],社寺、その他（町人地）,土坑　ピット　整地層（盛土）,陶磁器　土器　?器　瓦,139.7983422,35.70576487
13107007400,13107,74,すみだく№74いせき,墨田区No.74遺跡,墨田区 本所二丁目,[近世],その他（町人地）,下水木樋 土留 整地層（盛土） 杭列,陶磁器 土器 土製品 石製品 木製品 金属製品 自然遺物,139.8003499,35.70410107
13107007500,13107,75,すみだく№75いせき,墨田区No.75遺跡,墨田区 亀沢四丁目,[近世],その他（町人地）,建物基礎 整地層（盛土） 土坑 杭 下水溝 礎石 埋桶,陶磁器 瓦 土器 木製品,139.8066333,35.69758051
13107007600,13107,76,すみだく№76いせき,墨田区No.76遺跡,墨田区 本所四丁目,[近世],その他（町人地）,整地層（盛土） 杭 木組,陶磁器 瓦,139.8074655,35.70422933
13107007700,13107,77,すみだく№77いせき,墨田区No.77遺跡,墨田区 太平一丁目,[近世],その他（町人地）,土坑（ゴミ穴） 礎石 胞衣皿 整地層（盛土） 下水溝（近代）,陶磁器 土器 木製品 レンガ,139.8112206,35.70082576
