JASID,自治体コード,遺跡番号,ふりがな,遺跡名,変換元住所,時代,種別,主な遺構／概要,主な出土品
13107001105,13107,11-5,ほんじょおくらあと,本所御蔵跡,墨田区 横網一丁目,[近世],その他（幕府御用地・近代軍用地）,掘割石組　石組下水,陶磁器類等
13107001200,13107,12,,墨田区No.12遺跡,墨田区 緑二丁目 亀沢二丁目,[近世],屋敷,上水遺構（木樋・井戸・竹管） 石組下水 土蔵跡 礎石建物跡 貝地業跡,陶磁器類 瓦 貝殻 木製品 金属製品 土製品
13107001400,13107,14,すみだくきんしちょうえききたぐちいせき,墨田区錦糸町駅北口遺跡,墨田区 錦糸町一丁目,[近世],屋敷,[近世]建物　地業　礎石　土坑　杭列　井戸　池　植栽痕　排水遺構溝　埋桶　水琴窟　木樋,陶磁器　土器　土製品　金属製品　木製品
13107001500,13107,15,こうとうばしにちょうめいせき,江東橋二丁目遺跡,墨田区 江東橋二丁目,[近世],屋敷,[近世]建物　土坑　杭列　井戸　池　埋桶　埋甕　木組,陶磁器　土器　瓦　金属製品　木製品
13107001600,13107,16,,墨田区No.16遺跡,墨田区 本所二丁目,[近世],その他の墓,,陶磁器　甕　甕棺　円形木棺　墓石　人骨
13107001602,13107,16-2,すみだく№16-2いせき,墨田区№16-2遺跡,墨田区 本所一丁目,[近世],社寺,区画溝　埋甕　土坑,陶磁器　甕棺　人骨　木製品
13107001700,13107,17,よこかわいっちょうめいせき,横川一丁目遺跡,墨田区 横川一丁目,[近世],屋敷,[近世]地業　杭　下水溝　貯水池,陶磁器　瓦　金属製品　木製品
13107001800,13107,18,すみだくなりひらごちょうめしょざいいせき,墨田区業平五丁目所在遺跡,墨田区 業平五丁目,[近世],その他の墓・社寺,[近世]土留遺構　井戸,陶磁器　甕棺　早桶　木製品　墓石　人骨
13107002100,13107,21,ほんぶつじあと,本沸寺跡,墨田区 太平一丁目,[近世],その他の墓・社寺,[近世]墓跡,陶磁器類　木製品　金属製品　人骨　漆器　木製玩具
13107002200,13107,22,,墨田区No.22遺跡,墨田区 太平四丁目,[近世][近代],屋敷・その他（産業遺跡）,[近世][近代]池跡　[近代]煉瓦積み構造物,陶磁器類　瓦　木製品　金属製品
13107002300,13107,23,,墨田区No.23遺跡,墨田区 太平一丁目,[近世],屋敷,土留遺構,陶磁器類　瓦
13107002302,13107,23-2,すみだく№23-2いせき,墨田区№23-2遺跡,墨田区 太平一丁目,[近世],屋敷,池跡　土留,陶磁器　瓦　木製品
13107002400,13107,24,,墨田区No.24遺跡,墨田区 錦糸四丁目,[近世],屋敷,溝状遺構　溝　池,陶磁器類　瓦　木製品
13107002500,13107,25,,墨田区No.25遺跡,墨田区 錦糸四丁目,[近世],屋敷・その他（百姓地）,土留遺構　石組遺構　杭列,陶磁器類　瓦　木製品
13107002600,13107,26,,墨田区No.26遺跡,墨田区 吾妻橋一丁目,[近世],社寺・その他の墓,[近世]墓跡,陶磁器類　漆器　木製品　人骨　その他副葬品（数珠、銭等）
13107002700,13107,27,,墨田区No.27遺跡,墨田区 亀沢四丁目,[近世],屋敷,溝　建物跡　土坑内等,陶磁器類　瓦類　木製品　金属製品
13107002800,13107,28,,墨田区No.28遺跡,墨田区 太平一丁目,[近世],屋敷,区画溝（土留）　杭列　土坑等,陶磁器類　木製品類等
13107002900,13107,29,,墨田区No.29遺跡,墨田区 東駒形三丁目,[近世],社寺,[近世]区画に関する溝及び杭列土坑・埋桶 盛土,陶磁器類　漆器　木製品類　瓦類　金属製品類等
13107003000,13107,30,すみだく№30いせき,墨田区№30遺跡,墨田区 本所一丁目,[近世],屋敷,土坑　溝　建物跡,陶磁器　瓦類　木製品　金属製品
13107003100,13107,31,すみだく№31いせき,墨田区№31遺跡,墨田区 横川一丁目,[近世],社寺,,早桶
13107003200,13107,32,すみだく№32いせき,墨田区№32遺跡,墨田区 千歳三丁目,[近世],屋敷,土坑、溝、礎石,陶磁器類　木製品　瓦
13107003300,13107,33,すみだく№33いせき,墨田区№33遺跡,墨田区 錦糸四丁目,[近世],屋敷　その他（百姓地）,土坑　溝,陶磁器類　瓦　木製品　金属製品
13107003400,13107,34,すみだく№34いせき,墨田区№34遺跡,墨田区 太平一丁目,[近世],その他の墓,早桶,人骨　桶　陶磁器類
13107003500,13107,35,すみだく№35いせき,墨田区№35遺跡,墨田区 亀沢四丁目,[近世],屋敷,建物跡　池跡　井戸　土蔵　土留,陶磁器類　漆木製品　瓦　金属製品
13107003600,13107,36,すみだく№36いせき,墨田区№36遺跡,墨田区 太平一丁目,[近世],その他（町人地）,土坑　土留跡　杭　溝　埋桶,陶磁器類　木製品　瓦　金属製品
13107003700,13107,37,,墨田区№37遺跡,墨田区 横網一丁目,[近世],屋敷,土坑　下水,陶磁器類　瓦　土器等
13107003800,13107,38,すみだく№38いせき,墨田区№38遺跡,墨田区 太平一丁目,[近世],社寺,土坑,墓石　陶磁器類　土器　人骨　貝　早桶
13107004000,13107,40,すみだく№40いせき,墨田区№40遺跡,墨田区 立花一丁目,[近世],集落,ゴミ穴,陶器　土器
13107004100,13107,41,すみだく№41いせき,墨田区№41遺跡,墨田区 業平五丁目,[近世],その他（寺院・境内）,建物基礎杭　ゴミ穴,陶磁器　瓦
13107004200,13107,42,すみだく№42いせき,墨田区№42遺跡,墨田区 太平一丁目,[近世],その他（寺院・境内）,建物基礎杭　盛土,陶磁器
13107004300,13107,43,すみだく№43いせき,墨田区№43遺跡,墨田区 江東橋二丁目,[近世],その他（大縄地）,下水木樋　竹樋　建物基礎　杭列　胞衣　盛土,陶磁器　土器　木製品
13107004400,13107,44,すみだく№44いせき,墨田区№44遺跡,墨田区 東駒形三丁目,[近世],社寺,下水溝　溝　埋桶　杭列　土坑　盛土,陶磁器　土器　木製品　墓標
13107004500,13107,45,すみだく№45いせき,墨田区№45遺跡,墨田区 東駒形二丁目,[近世],その他（町屋）,盛土,陶磁器　土器　土製品　漆製品　木材
13107004600,13107,46,すみだく№46いせき,墨田区No.46遺跡,墨田区 亀沢四丁目,[近世],その他（町屋）,盛土　木組状遺構,陶磁器
13107004700,13107,47,すみだく№47いせき,墨田区No.47遺跡,墨田区 向島一丁目,[近世],社寺,盛土　土坑　溝状遺構,陶磁器　瓦
13107004800,13107,48,,墨田区No.48遺跡,墨田区 立花一丁目,[近世],集落,[近世]盛土,(近世)陶磁器類
13107004900,13107,49,,墨田区No.49遺跡,墨田区 立花一丁目,[近世],集落,[近世]盛土,(近世)陶磁器類
13107005000,13107,50,,墨田区No.50遺跡,墨田区 石原一丁目,[近世],その他（町人地）,[近世]盛土　杭,(近世)陶磁器類
13107005100,13107,51,,墨田区No.51遺跡,墨田区 横川五丁目,[近世],屋敷,[近世]盛土　井戸状遺構,(近世)陶磁器
13107005200,13107,52,,墨田区No.52遺跡,墨田区 横網二丁目,[近世],屋敷,[近世]盛土　礎石　ゴミ穴,(近世)陶磁器、土器、木製品
13107005300,13107,53,,墨田区No.53遺跡,墨田区 亀沢四丁目,[近世],その他（町人地）,[近世]盛土　ゴミ穴,(近世)陶磁器、土器、木製品
13107005400,13107,54,,墨田区No.54遺跡,墨田区 亀沢一丁目,[近世],屋敷,[近世]盛土　礎石　杭　基礎　埋甕,(近世)陶磁器、土器、瓦
13107005500,13107,55,,墨田区No.55遺跡,墨田区 緑一丁目,[近世],屋敷,[近世]盛土　杭,(近世)陶磁器
13107005600,13107,56,,墨田区No.56遺跡,墨田区 千歳三丁目,[近世],屋敷,[近世]盛土　杭　溝状遺構,(近世)陶磁器　土器　瓦　木製品
13107005700,13107,57,,墨田区No.57遺跡,墨田区 千歳三丁目,[近世],その他（道路）,[近世]盛土（道路）,(近世)陶磁器　土器　瓦
13107005800,13107,58,,墨田区No.58遺跡,墨田区 本所二丁目,[近世],屋敷,[近世]土坑　礎石　杭,(近世)陶磁器
13107005900,13107,59,,墨田区No.59遺跡,墨田区 千歳三丁目,[近世],その他（河岸　堀）,[近世]盛土　土坑　礎石　杭,(近世)陶磁器　土器　土製品
13107006000,13107,60,,墨田区No.60遺跡,墨田区 亀沢四丁目,[近世],その他（町人地）,[近世]盛土　火事関連跡,(近世)陶磁器　土器　瓦
13107006100,13107,61,,墨田区No.61遺跡,墨田区 石原一丁目,[近世],屋敷,[近世]埋甕　埋桶　杭　盛土,(近世)陶磁器　木製品
13107006200,13107,62,,墨田区No.62遺跡,墨田区 業平四丁目,[近世],社寺,[近世]盛土,(近世)陶磁器
13107006300,13107,63,,墨田区No.63遺跡,墨田区 江東橋二丁目,[近世],屋敷,[近世]穴蔵、礎石、梅桶,(近世)陶磁器、土器、木製品
13107006400,13107,64,,墨田区No.64遺跡,墨田区 東駒形三丁目,[近世],社寺,盛土　土坑,陶磁器　土器
13107006500,13107,65,,墨田区No.65遺跡,墨田区 千歳二丁目,[近世],その他（門前町）,土坑　杭　盛土,陶磁器　土器
13107006600,13107,66,,墨田区No.66遺跡,墨田区 横川一丁目,[近世],その他の墓,墓,陶磁器　土器　墓石
13107006700,13107,67,,墨田区No.67遺跡,墨田区 本所一丁目,[近世],屋敷,土坑　礎石　盛土,陶磁器
13107006800,13107,68,,墨田区No.68遺跡,墨田区 東向島四丁目,[近世],屋敷、その他（村落）,溝　下水溝　土坑　盛土,陶磁器　土器　木製品　金属製品　ガラス製品　須恵器
13107006900,13107,69,,墨田区No.69遺跡,墨田区 吾妻橋一丁目,[近世],屋敷,杭　盛土、貝集中範囲,陶磁器
13107007000,13107,70,,墨田区No.70遺跡,墨田区 横綱二丁目,[近世],屋敷,井戸　建物基礎　杭　土坑　盛土,陶磁器　土器　瓦
13107007100,13107,71,,墨田区No.71遺跡,墨田区 吾妻橋一丁目,[近世],その他（町人地）,ゴミ穴　下水溝　整地層（盛土）,陶磁器
13107007200,13107,72,,墨田区No.72遺跡,墨田区 本所一丁目,[近世],屋敷、その他（町人地）,下水木樋　整地層（盛土）　石組溝　溝　土留め　土坑　杭,陶磁器　土器　漆　木製品　金属製品
13107007300,13107,73,,墨田区No.73遺跡,墨田区 東駒形一丁目,[近世],社寺、その他（町人地）,土坑　ピット　整地層（盛土）,陶磁器　土器　炻器　瓦
