JASID,自治体コード,遺跡番号,ふりがな,遺跡名,所在地,時代,種別,主な遺構/概要,主な出土品
13119003700,13119,37,,板橋区№37遺跡,板橋区 四葉一丁目,[古墳時代],包蔵地,,須恵器
13119003800,13119,38,よつばみやまえいせき,四葉宮前遺跡,板橋区 四葉一丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][平安時代][近世],包蔵地・集落,[古墳時代]住居,土師器　須恵器
13119003900,13119,39,よつばちくいせき,四葉地区遺跡,板橋区 四葉二丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[縄文時代]住居　[弥生時代][古墳時代]住居　焼土　[奈良時代][平安時代]住居　竪穴状遺構　[中世][近世]地下式土坑　溝　道路,縄文土器　有舌尖頭器　弥生土器　土師器　須恵器　土玉　臼玉
13119004000,13119,40,よつばちくいせき,四葉地区遺跡,板橋区 四葉二丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地,[弥生時代]環濠　住居　[平安時代]住居　土坑　溝　井戸　[近世]土壙墓　[時代不明]ピット,弥生土器　土師器　須恵器　釘　金銅製観音立像　銭貨
13119004100,13119,41,おきやま・よつばちくいせき,沖山・四葉地区遺跡,板橋区 四葉二丁目,[縄文時代][弥生時代（中期～後期）][古墳時代][平安時代][中世][近世],包蔵地・集落,[弥生時代]環濠　住居　ピット　土坑　[古墳時代]住居　[奈良時代][平安時代]住居　[中世]段切り　溝状遺構　[近世]畝　土壙墓,縄文土器　打斧　弥生土器　土師器　須恵器　銅製?帯　板碑　陶磁器　くし　簪　人形　銭貨　胞衣壺
13119004200,13119,42,よつばちくいせき,四葉地区遺跡,板橋区 四葉二丁目　 徳丸八丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,[旧石器時代]ブロック　炭化物集中　[縄文時代]住居　陥し穴　[弥生時代][古墳時代]環濠　住居　方形周溝墓　円形周溝墓　[古墳時代]土坑　[奈良時代][平安時代]住居　土坑　地下式土坑　[中世][近世]段切り　溝　[近世]地下室　ゴミ穴　溝　[時代不明]井戸　火葬墓,ナイフ形石器　細石刃　掻器　抉入石器　敲石　石核　縄文土器　打斧　磨斧　局部磨斧　有舌尖頭器　石鏃　楔形石器　石皿　磨石　スタンプ形石器　敲石　土製品　弥生土器　磨斧　石包丁　石皿　台石　土師器　須恵器　鉄鏃　陶磁器　銭貨　獣骨
13119004300,13119,43,,板橋区№43遺跡,板橋区 徳丸一丁目,[縄文時代][弥生時代][古墳時代],包蔵地・集落,[縄文時代]住居　[古墳時代]住居,弥生土器　土師器
13119004400,13119,44,,板橋区№44遺跡,板橋区 徳丸一丁目,[縄文時代（前期）],包蔵地,,縄文土器　石器
13119004500,13119,45,,板橋区№45遺跡,板橋区 徳丸一丁目,[弥生時代][古墳時代],包蔵地,,土師器
13119004600,13119,46,,板橋区№46遺跡,板橋区 徳丸二丁目,[縄文時代][弥生時代][古墳時代],包蔵地・集落,,縄文土器　弥生土器　土師器
13119004700,13119,47,,板橋区№47遺跡,板橋区 徳丸二丁目　 徳丸三丁目,[縄文時代][弥生時代][古墳時代],包蔵地,[時代不明]住居,縄文土器　石鏃　弥生土器　土師器　須恵器
13119004800,13119,48,,板橋区№48遺跡,板橋区 徳丸四丁目,[旧石器時代],包蔵地,,石器
13119004900,13119,49,とくまるきょうむねいせき,徳丸京宗遺跡,板橋区 徳丸四丁目,[縄文時代][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器　土師器
13119005000,13119,50,,板橋区№50遺跡,板橋区 徳丸三丁目　 徳丸四丁目,[縄文時代][弥生時代][古墳時代],包蔵地・集落,[縄文時代]住居　[弥生時代]住居　[古墳時代]住居,縄文土器　弥生土器　土師器
13119005100,13119,51,とくまるもりのきいせき,徳丸森木遺跡,板橋区 徳丸五丁目　 四葉一丁目,[旧石器時代][縄文時代（早期～中期・晩期）][弥生時代（後期）][古墳時代],包蔵地・集落,[旧石器時代]ブロック　[縄文時代]土坑　[弥生時代]住居　[古墳時代]方形周溝墓　[時代不明]土坑　溝,剥片　縄文土器　石鏃　弥生土器　石器　土師器
13119005200,13119,52,とくまるいしかわ／とくまるみつわいせき,徳丸石川／徳丸三ツ和遺跡,板橋区 徳丸五丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][中世][近世],包蔵地・集落・城館,[縄文時代]土坑　[弥生時代]住居　円形周溝墓　特殊遺構　[古墳時代]住居　[中世]堀,角錐状石器　縄文土器　石器　耳飾　弥生土器　土師器　陶磁器
13119005300,13119,53,とくまるたかやまかいづか,徳丸高山貝塚,板橋区 徳丸六丁目,[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落,[旧石器時代]礫群　[縄文時代]住居　[古墳時代][平安時代]住居,角錐状石器　縄文土器　石器　石包丁
13119005400,13119,54,とくまるひがし／とくまるきたのじんじゃいせき,徳丸東／徳丸北野神社遺跡,板橋区 徳丸六丁目,[縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落,[縄文時代]土坑　埋甕　[弥生時代]住居　方形周溝墓　壺棺　[古墳時代]住居　[奈良時代]住居　[時代不明]住居　掘立柱建物　ピット,ナイフ形石器　楔形石器　彫器　石核　縄文土器　打斧　磨斧　礫器　石鏃　削器　磨石　抉入石器　凹石　敲石　土製品　弥生土器　砥石　土師器　須恵器　土錘　土玉　支脚　鞴口　土製鏡　青銅環　石製品
13119005500,13119,55,,板橋区№55遺跡,板橋区 徳丸六丁目　 徳丸七丁目,[縄文時代][弥生時代][古墳時代],包蔵地,[時代不明]住居,縄文土器　石器　弥生土器　土師器　砥石
13119005600,13119,56,つじやまかいづか,辻山貝塚,板橋区 徳丸七丁目,[縄文時代（後期）][弥生時代][古墳時代][平安時代],包蔵地・集落・貝塚,[時代不明]住居,縄文土器　弥生土器　土師器
13119005700,13119,57,,板橋区№57遺跡,板橋区 徳丸七丁目　 徳丸八丁目,[縄文時代（中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落,,縄文土器　弥生土器　土師器
13119005800,13119,58,にしだいごとうだいせき,西台後藤田遺跡,板橋区 西台一丁目　 西台三丁目　 西台四丁目　 若木二丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][近世],包蔵地・集落・貝塚,,縄文土器
13119005900,13119,59,,板橋区№59遺跡,板橋区 西台一丁目,[縄文時代（前期）][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器　土師器
13119006000,13119,60,,板橋区№60遺跡,板橋区 西台二丁目,[時代不明],包蔵地,,
13119006100,13119,61,うえんでいせき,上台遺跡,板橋区 西台二丁目,[縄文時代（中期）][弥生時代],包蔵地,,ナイフ形石器　縄文土器　打斧　弥生土器　土師器　須恵器
13119006200,13119,62,にしだいいせき,西台遺跡,板橋区 西台二丁目　 西台三丁目,[縄文時代（早期～後期）][弥生時代（後期）],包蔵地・集落,[縄文時代]土坑　ピット　[弥生時代]住居　[古墳時代]住居　土坑,縄文土器　石皿　磨石　弥生土器　土師器
13119006300,13119,63,ごたんだいせき,五段田遺跡,板橋区 西台三丁目,[旧石器時代][縄文時代（中期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・墳墓,[旧石器時代]ブロック　[縄文時代]住居　炉穴　土坑　[弥生時代]住居　方形周溝墓　土坑　溝　[奈良時代][平安時代]溝　[中世]掘立柱建物　竪穴状遺構　地下式土壙　段切状遺構　[近世]土坑　井戸　畝状遺構　道路状遺構,ナイフ形石器　石刃　剥片　縄文土器　石器　弥生土器　土師器　埴輪　陶磁器　土師質土器　金属製品　銭貨
13119006400,13119,64,,板橋区№64遺跡,板橋区 西台三丁目,[縄文時代][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器　土師器
13119006500,13119,65,,板橋区№65遺跡,板橋区 若木一丁目,[時代不明],包蔵地,,土師器　須恵器
13119006600,13119,66,,板橋区№66遺跡,板橋区 若木二丁目,[縄文時代][弥生時代][古墳時代][平安時代],包蔵地,,
13119006700,13119,67,,板橋区№67遺跡,板橋区 若木一丁目　 若木二丁目,[縄文時代（後期）][弥生時代][古墳時代],包蔵地,,
13119006800,13119,68,,板橋区№68遺跡,板橋区 若木一丁目　 若木二丁目,[縄文時代（後期）],包蔵地,,縄文土器
13119006900,13119,69,,板橋区№69遺跡,板橋区 若木二丁目,[縄文時代（後期）],包蔵地,,縄文土器
13119007000,13119,70,,板橋区№70遺跡,板橋区 若木二丁目　 若木三丁目,[縄文時代（後期）],包蔵地,,縄文土器
13119007100,13119,71,なかだいばばさきかいづか,中台馬場崎貝塚,板橋区 若木三丁目,[縄文時代（早期～晩期）][弥生時代（後期）][奈良時代],包蔵地・集落・貝塚,[縄文時代]住居　炉穴　[弥生時代]住居,縄文土器　石器　弥生土器
13119007200,13119,72,,板橋区№72遺跡,板橋区 若木三丁目,[縄文時代（前期～後期）],包蔵地,,縄文土器
13119007300,13119,73,,板橋区№73遺跡,板橋区 若木三丁目,[時代不明],包蔵地,,
13119007400,13119,74,,板橋区№74遺跡,板橋区 中台一丁目,[縄文時代（早期）][弥生時代][古墳時代],包蔵地,,
13119007500,13119,75,,板橋区№75遺跡,板橋区 若木一丁目　 中台一丁目,[縄文時代（早期～前期）][古墳時代],包蔵地,,縄文土器　土師器
13119007600,13119,76,なかだいひがしだにいせき,中台東谷遺跡,板橋区 中台一丁目　 中台二丁目,[旧石器時代][縄文時代（早期～中期・晩期）][平安時代],包蔵地・集落,[旧石器時代]ユニット　礫群　[縄文時代]住居　ピット　土壙墓,ナイフ形石器　角錐状石器　掻器　石核　剥片　焼礫　縄文土器　石鏃　須恵器　陶磁器
13119007700,13119,77,,板橋区№77遺跡,板橋区 中台二丁目,[縄文時代（前期）][弥生時代][古墳時代],包蔵地,,
13119007800,13119,78,,板橋区№78遺跡,板橋区 中台二丁目　 中台三丁目,[縄文時代（前期）][弥生時代（中期～後期）][古墳時代],包蔵地,,縄文土器　弥生土器　土師器
13119007900,13119,79,なかだいさんちょうめひがしきゅうりょう／なかだいはたなかいせき,中台三丁目東丘陵／中台畠中遺跡,板橋区 中台二丁目　 中台三丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代],包蔵地・集落,[縄文時代]住居　土坑　[弥生時代]住居　[古墳時代]住居　[平安時代]住居,ナイフ形石器　掻器　縄文土器　石器　弥生土器　土師器　須恵器　鉄鎌　土製勾玉　金環
13119008000,13119,80,,板橋区№80遺跡,板橋区 中台三丁目,[縄文時代（早期・後期）],包蔵地,,
13119008100,13119,81,,板橋区№81遺跡,板橋区 中台三丁目,[縄文時代（前期～中期）][弥生時代][古墳時代],包蔵地,,縄文土器　弥生土器　須恵器　円筒植輪
13119008200,13119,82,,板橋区№82遺跡,板橋区 中台三丁目,[時代不明],包蔵地,,
13119008300,13119,83,なかだいさんちょうめみなみ／なかだいさんちょうめみなみのおかいせき,中台三丁目南／中台三丁目南の丘遺跡,板橋区 中台三丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代],集落,[縄文時代]炉穴　土坑　[弥生時代]住居　[古墳時代]住居　[奈良時代][平安時代]住居　[時代不明]土坑,ナイフ形石器　縄文土器　石器　弥生土器　土師器　須恵器　土玉
13119008400,13119,84,,板橋区№84遺跡,板橋区 中台三丁目,[弥生時代][古墳時代],包蔵地,[時代不明]住居,縄文土器　弥生土器　土師器　須恵器
13119008500,13119,85,,板橋区№85遺跡,板橋区 前野町三丁目,[弥生時代][古墳時代],包蔵地・集落,[弥生時代]住居,弥生土器
13119008600,13119,86,,板橋区№86遺跡,板橋区 前野町三丁目,[縄文時代（後期）],包蔵地,,縄文土器
13119008700,13119,87,,板橋区№87遺跡,板橋区 大原町　 前野町三丁目,[弥生時代],包蔵地,[時代不明]住居,
13119008800,13119,88,まえのくまのきたいせき,前野熊野北遺跡,板橋区 前野町三丁目　 前野町四丁目,[縄文時代（後期）][弥生時代（後期）][古墳時代],包蔵地・集落,[弥生時代]住居,弥生土器
13119008900,13119,89,,板橋区№89遺跡,板橋区 前野町四丁目　 前野町五丁目,[縄文時代（後期）][弥生時代（後期）][古墳時代],包蔵地・集落,,
13119009000,13119,90,まえのうさぎやつひがしいせき,前野兎谷東遺跡,板橋区 前野町四丁目,[弥生時代],集落,,弥生土器
13119009100,13119,91,,板橋区№91遺跡,板橋区 前野町四丁目,[弥生時代][古墳時代],包蔵地,,弥生土器　土師器
13119009200,13119,92,,板橋区№92遺跡,板橋区 前野町四丁目,[弥生時代][古墳時代],包蔵地,,弥生土器
13119009300,13119,93,,板橋区№93遺跡,板橋区 前野町四丁目,[縄文時代][弥生時代],包蔵地,,縄文土器　弥生土器
13119009400,13119,94,まえのひぐらしくぼ／まえのうさぎやついせき,前野日暮久保／前野兎谷遺跡,板橋区 前野町五丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][近世],包蔵地・集落,[縄文時代]小竪穴　[弥生時代]住居,縄文土器　石器　弥生土器　土師器
13119009500,13119,95,,板橋区№95遺跡,板橋区 前野町五丁目,[弥生時代],包蔵地,,
13119009600,13119,96,でいみなみいせき,出井南遺跡,板橋区 泉町　 前野町一丁目　 大原町,[縄文時代（前期）][弥生時代],包蔵地,,縄文土器　石器
13119009700,13119,97,でいきたいせき,出井北遺跡,板橋区 泉町　 大原町,[縄文時代（前期～中期）][近世],集落,[縄文時代]住居　土坑　[近世]溝,縄文土器
13119009800,13119,98,まえのたむかいいせき,前野田向遺跡,板橋区 大原町　 前野町三丁目　 志村一丁目,[縄文時代（早期～前期・後期～晩期）][古墳時代][奈良時代][平安時代],包蔵地・集落,[縄文時代]住居　[平安時代]住居,石核　縄文土器　石器　土偶　土製円板　土師器　須恵器　土製品　石製品　鉄製品
13119009900,13119,99,しまいはた／しむら／しむらさかうえいせき,四枚畑／志村／志村坂上遺跡,板橋区 前野町三丁目　 前野町四丁目　 志村一丁目,[旧石器時代][縄文時代（早期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・貝塚,[旧石器時代]ブロック　礫群　[縄文時代]住居　土坑　ピット　[弥生時代]住居　[古墳時代]住居　[奈良時代][平安時代]溝　[近世]溝　道路,ナイフ形石器　掻器　縄文土器　石器　けつ状耳飾　土偶　骨角器　弥生土器　土師器　須恵器
13119010000,13119,100,しむらさかうえさいほういせき,志村坂上西方遺跡,板橋区 志村一丁目,[縄文時代（中期）][弥生時代（後期）][古墳時代][奈良時代][平安時代],包蔵地,,土師器
13119010100,13119,101,しむらしろやまいせき・しむらじょうし,志村城山遺跡・志村城址,板橋区 志村二丁目,[旧石器時代][縄文時代（早期～後期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代][中世][近世],包蔵地・集落・城館,[弥生時代]環濠　[古墳時代]方形周溝墓　[奈良時代][平安時代]住居　掘立柱建物　柵列　[中世]土壙　溝　堀,縄文土器　打斧　磨斧　石鏃　掻器　磨石　弥生土器　土師器　須恵器　支脚　羽口　鉄針　陶磁器
13119010300,13119,103,あずさわやまのうえいせき,小豆沢山ノ上遺跡,板橋区 小豆沢二丁目　 小豆沢三丁目,[縄文時代（後期）],貝塚,,縄文土器
13119010400,13119,104,あずさわかいづか／あずさわみやのまえみなみいせき,小豆沢貝塚／小豆沢宮ノ前南遺跡,板橋区 小豆沢二丁目　 小豆沢四丁目,[縄文時代（中期～晩期）][弥生時代（中期～後期）],集落・貝塚,[弥生時代]方形周溝墓,縄文土器　弥生土器　ガラス小玉
13119010500,13119,105,あずさわひがしはら／あずさわみやのまえいせき,小豆沢東原／小豆沢宮ノ前遺跡,板橋区 小豆沢一丁目　 小豆沢二丁目　 小豆沢四丁目,[縄文時代（後期）][弥生時代][古墳時代][奈良時代][平安時代],集落,[奈良時代][平安時代]住居,
13119010600,13119,106,くりはらいせき,栗原遺跡,板橋区 桜川一丁目,[旧石器時代][縄文時代（早期・後期）][弥生時代][古墳時代][平安時代],集落,[旧石器時代]礫群　[弥生時代]住居　[奈良時代]住居,掻器　礫　剥片　縄文土器　打斧　磨斧　弥生土器　土師器　須恵器　紡錘車　砥石　鎌　手斧　刀子　鑿　鉄鏃　鋸　鎖　金具
13119010700,13119,107,,板橋区№107遺跡,板橋区 桜川二丁目　 東新町一丁目　 東新町二丁目,[縄文時代（後期）][弥生時代],包蔵地,,弥生土器
13119010800,13119,108,,板橋区№108遺跡,板橋区 東新町二丁目,［時代不明］,包蔵地,,
13119010900,13119,109,むかいやしきいせき,向屋敷遺跡,板橋区 南常盤台一丁目　 常盤台一丁目,[弥生時代][古墳時代],集落,[弥生時代]住居　[古墳時代]住居,弥生土器　土師器
13119011000,13119,110,ねむらいせき,根村遺跡,板橋区 大和町,[縄文時代],包蔵地,,
13119011100,13119,111,いなりだいいせき,稲荷台遺跡,板橋区 稲荷台,[縄文時代（早期・後期）],包蔵地,,縄文土器　局部磨斧　石鏃
13119011200,13119,112,かがいっちょうめいせき,加賀一丁目遺跡,板橋区 加賀一丁目　 板橋四丁目,[弥生時代][古墳時代][奈良時代],集落,[奈良時代]住居,弥生土器　土師器
13119011300,13119,113,ねのかみいせき,根ノ上遺跡,板橋区 小茂根一丁目　 小茂根二丁目,[旧石器時代][縄文時代（早期）][弥生時代][平安時代],包蔵地・集落,[縄文時代]住居　[弥生時代]住居　溝状遺構　[平安時代]住居,ナイフ形石器　細石刃核　角錐状石器　縄文土器　石器　弥生土器　土師器　須恵器　　炭化米
13119011400,13119,114,,板橋区№114遺跡,板橋区 小茂根一丁目　 小茂根二丁目,[弥生時代],包蔵地,,弥生土器
13119011500,13119,115,ねのかみせいほういせき,根ノ上西方遺跡,板橋区 小茂根一丁目　 小茂根四丁目,[弥生時代][古墳時代],包蔵地,,弥生土器　土師器
13119011600,13119,116,,板橋区№116遺跡,板橋区 小茂根一丁目　 小茂根四丁目,[古墳時代],包蔵地,,土師器
13119011700,13119,117,,板橋区№117遺跡,板橋区 小茂根二丁目,[縄文時代（中期）],包蔵地,,縄文土器
13119011800,13119,118,こやまだい／こもねこやまいせき,小山台／小茂根小山遺跡,板橋区 小茂根二丁目　 小茂根三丁目,[旧石器時代][弥生時代],集落,[弥生時代]住居,剥片　弥生土器
13119011900,13119,119,もろやまとうほういせき,茂呂山東方遺跡,板橋区 小茂根三丁目,[旧石器時代][縄文時代（前期）],包蔵地,[旧石器時代]礫群　[時代不明]住居,ナイフ形石器　剥片　縄文土器
13119012000,13119,120,,板橋区№120遺跡,板橋区 小茂根四丁目　 小茂根五丁目,[縄文時代（早期～前期）],包蔵地,,縄文土器
13119012100,13119,121,,板橋区№121遺跡,板橋区 小茂根五丁目,[弥生時代][古墳時代],包蔵地,,
13119012200,13119,122,もろいせき,茂呂遺跡,板橋区 小茂根五丁目,[旧石器時代][縄文時代（早期～中期）][弥生時代（後期）][奈良時代][平安時代],包蔵地・集落,[旧石器時代]礫群　[平安時代]住居,ナイフ形石器　角錐状石器　掻器　石核　剥片　縄文土器　弥生土器　土師器　須恵器
13119012300,13119,123,,板橋区№123遺跡,板橋区 小茂根五丁目,［縄文時代］,包蔵地,,須恵器
